"CID","CanonicalSMILES","MolecularFormula","Fingerprint2D"
459803,"C1=CC2=C(C3=C(C=C2)C(=O)C(=CN3)C(=O)O)N=C1","C13H8N2O3","AAADccBzMAAAAAAAAAAAAAAAAAAAAAAAAAA8QIAAAAAAAACx8AAAHgAQCAAADAzBngQ8yPLIEgCoA7T3TACCgCA1EiAI2KE4dNgIZP7IlZGUYYhkoADI2cec2eOeQAAAQAACACCAAACAAAQAQAAAAAAAAA=="
91899426,"C(C(C1=C(C(=C(O1)O)OP(=O)([O-])[O-])[O-])O)O","C6H6O9P-3","AAADcYBgPAIAAAAAAAAAAAAAAAAAASAAAAAAAAAAAAAAAAABgAAAGgAACCAACBSgkAIADoAAB1CIQIDQCIICCAAkIAAAiAFEiMgdNzaGNBqCWWOl4BUPuQfKbARAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=="
286003,"CC1(OC2C(O1)C(OC2C(=O)O)N3C=NC4=C(N=CN=C43)N)C","C13H15N5O5","AAADccBzuAAAAAAAAAAAAAAAAAAAAWJEgAAsAAAAAAASAFgB+AAAHgAQCAAACBzhlwYH+L9MFgCoAQbxbAKAgC0REKABUCFoVBCTSBZAyEQ/RAgPIALXACD6NQIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=="
47289,"CN(CCCC(=O)C1=CN=CC=C1)N=O","C10H13N3O2","AAADccBzMAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAABgAAAHgAMAAAADATBmgQ+gJIIEACpArB3RACCgCA1AiAY2CE4ZNgIIPrAlZGEIYhggADIycccgYAOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=="
451668,"C1C(C(OC1N2C=NC(=NC2=O)N)CO)O","C8H12N4O4","AAADccBzuAAAAAAAAAAAAAAAAAAAASAAAAAgAAAAAAAAAAAAAAAAHgAQCAAACBThgAYBAANABgAoAAABNAAAAAEAAAABAAAIAACBEAIAiAAOQAAHBgIDAACwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=="
16218924,"CC1=NC(=CC=C1)C2=NN(C=C2C3=CC=NC4=CC=CC=C34)C(=S)NC5=CC=CC=C5","C25H19N5S","AAADceB7gABAAAAAAAAAAAAAAAAAAWAAAAA8eIEAAAAAAACx/gAAHAQYAAAADAjBHgQ/wPLIEACmAzRnRACShCAxgikc2CA4ZJiIYOLA0dGUpAh4mALIyCcQgMAOgAAAAAACAAAAAAAAAAQAAAAAAAAAAA=="
60961,"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","C10H13N5O4","AAADccBzuAAAAAAAAAAAAAAAAAAAAWJAAAAsAAAAAAAAAFgB+AAAHgAQCAAACBzhlwYF8L9MFgCgAQZhZACAgC0REKABUCAoVBCDWAJAyEAeRAgPAALTACDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=="
2051,"COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC","C16H14ClN3O2","AAADccB7MAAEAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAACx9AAAHgIQAAAADA6BniY39vbIFACgAyZjZACCiCkxJ6AJ2CA+7piNLuLF+9uENCpu0BvK6Cew0BMOIEABAgICQABAgAIEBASAAAAAAAAAAA=="
2126,"CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C","C22H25NO3","AAADceB6MAAAAAAAAAAAAAAAAAAAAAAAAAAwYMAAAAAAAADBQAAAHgAQCAAADgiBmAAyyILAAgCIAiXSWACCAAAlAgAIiAEAbMgIJjLAlZGEcQhk1AHI2YeY2eOfyAACAAAQAACQAAQAACAAAAAAAAAAAA=="
9810212,"C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)Br)[O-])Br)Br)[O-])Br.[Na+].[Na+]","C20H6Br4Na2O5","AAADcYB4ODAAHAAAAAAAAAAAAAAAASAAAAA0YMEAAAAAAEiRUAAAGgBAAAABrESAmAAwDoAABACIAiDSCAACCAAkIAQIiAEECOgMJzKENRqCOSClwBUIq5eK6PyOoBAAGAA4BABAIAAwAHAIAAAAAAAAAA=="
